close,day,high,low,open,volume
100.060,2016-05-04,100.060,100.050,100.050,260000
102.000,2016-05-11,102.000,101.000,101.000,27820
102.400,2016-05-12,102.500,102.100,102.490,1730
102.600,2016-05-13,102.600,102.000,102.600,15900
102.590,2016-05-16,102.600,102.330,102.600,4840
102.590,2016-05-17,102.600,102.400,102.600,19930
102.550,2016-05-18,102.550,102.250,102.250,1450
102.540,2016-05-19,102.540,102.200,102.200,210
102.550,2016-05-20,102.550,102.550,102.550,190
102.540,2016-05-23,102.540,102.540,102.540,50
102.540,2016-05-24,102.570,102.540,102.570,180
102.200,2016-05-25,102.200,102.200,102.200,100
102.200,2016-05-26,102.200,102.200,102.200,110
102.300,2016-05-30,102.300,102.300,102.300,90
102.300,2016-06-01,102.300,102.180,102.180,350
102.300,2016-06-03,102.300,102.000,102.000,120
102.280,2016-06-07,102.280,102.280,102.280,200
102.280,2016-06-14,102.280,102.280,102.280,190
102.250,2016-06-15,102.490,92.590,92.590,1020
102.230,2016-06-16,102.230,102.230,102.230,20
102.210,2016-06-20,102.260,100.400,100.400,21190
102.190,2016-06-23,102.190,102.160,102.160,110
102.220,2016-06-27,102.290,102.220,102.270,2200
102.000,2016-06-28,102.180,101.900,102.180,530
101.580,2016-06-29,101.600,101.330,101.360,3980
101.250,2016-06-30,101.250,101.200,101.210,9040
101.230,2016-07-01,101.230,101.100,101.100,4390
101.100,2016-07-04,101.250,101.000,101.240,10280
101.000,2016-07-05,101.100,101.000,101.100,4540
100.490,2016-07-06,101.000,100.310,101.000,136920
100.400,2016-07-07,100.490,100.400,100.480,18910
100.700,2016-07-08,100.850,100.440,100.500,30890
101.090,2016-07-11,101.170,100.640,100.890,57460
100.910,2016-07-12,101.050,100.860,100.960,14750
100.710,2016-07-13,100.910,100.700,100.910,87740
100.700,2016-07-14,100.720,100.560,100.720,161370
100.740,2016-07-15,100.770,100.510,100.530,214840
101.240,2016-07-18,101.500,100.740,100.850,28910
101.250,2016-07-19,101.300,101.000,101.000,145390
102.000,2016-07-20,102.000,101.250,101.250,396630
103.150,2016-07-21,103.150,102.360,102.360,202180
102.800,2016-07-25,102.900,102.590,102.900,81300
102.600,2016-07-26,102.790,102.510,102.600,19470
102.810,2016-07-27,102.850,102.750,102.750,127770
102.900,2016-07-28,102.900,102.660,102.660,39540
103.350,2016-07-29,103.350,103.110,103.350,309760
103.450,2016-08-01,103.460,103.000,103.350,140940
103.180,2016-08-02,103.420,103.180,103.400,22260
103.490,2016-08-03,103.490,103.250,103.250,354530
103.650,2016-08-05,103.650,103.320,103.330,267370
103.900,2016-08-08,103.900,103.680,103.680,1730
104.800,2016-08-09,104.800,104.210,104.210,185910
105.490,2016-08-10,105.610,105.010,105.010,154380
105.340,2016-08-11,105.390,105.000,105.250,53720
106.210,2016-08-12,106.300,105.180,105.180,342670
106.610,2016-08-15,107.450,106.400,106.590,621810
106.480,2016-08-16,106.900,106.310,106.770,370870
106.100,2016-08-17,106.200,105.990,106.200,247580
106.190,2016-08-18,106.190,105.870,105.980,46460
104.980,2016-08-19,105.900,104.950,105.900,219520
105.200,2016-08-22,105.210,105.100,105.100,358440
105.380,2016-08-23,105.380,104.780,105.230,794070
104.300,2016-08-24,104.800,104.080,104.800,640670
104.540,2016-08-25,104.540,104.350,104.500,524420
105.000,2016-08-26,105.000,104.500,104.500,796480
104.590,2016-08-29,104.640,104.450,104.640,480490
104.140,2016-08-30,104.530,104.000,104.530,277130
104.030,2016-08-31,104.200,104.030,104.090,166630
104.100,2016-09-01,104.100,104.000,104.060,591070
104.400,2016-09-02,104.500,104.100,104.100,748870
104.480,2016-09-05,104.500,104.200,104.200,171470
103.700,2016-09-06,104.410,103.700,104.410,373770
103.540,2016-09-07,103.830,103.210,103.830,1305940
103.660,2016-09-08,103.990,103.400,103.400,90350
104.100,2016-09-09,104.170,103.790,103.990,623870
103.710,2016-09-12,103.890,103.660,103.700,71240
104.200,2016-09-13,104.200,103.800,104.000,1125400
104.290,2016-09-14,104.350,104.010,104.020,106530
104.220,2016-09-19,104.500,104.200,104.290,7260
104.600,2016-09-20,104.600,104.300,104.300,357790
104.500,2016-09-21,104.600,104.370,104.600,102590
104.690,2016-09-22,104.780,104.520,104.600,103620
105.400,2016-09-23,105.500,104.900,104.900,710980
105.920,2016-09-26,105.960,105.490,105.490,662080
105.590,2016-09-27,105.700,105.500,105.570,532610
