close,day,high,low,open,volume
50.000,1996-11-18,55.000,17.500,17.500,6278300
48.800,1996-11-19,49.480,46.990,49.200,1109400
49.450,1996-11-20,50.380,47.500,48.000,957300
47.950,1996-11-21,49.990,47.900,49.500,570000
48.500,1996-11-22,48.500,47.180,47.300,376200
48.000,1996-11-25,49.000,47.000,48.800,413500
47.860,1996-11-26,48.500,47.700,48.300,310100
46.900,1996-11-27,47.700,46.510,47.600,515700
48.100,1996-11-28,48.880,46.650,46.900,341300
47.800,1996-11-29,48.600,47.500,47.500,115000
47.930,1996-12-02,48.500,47.500,47.500,231900
48.200,1996-12-03,48.200,47.110,47.580,224300
49.310,1996-12-04,50.000,48.000,48.500,607900
49.610,1996-12-05,50.000,49.000,49.300,443800
49.500,1996-12-06,49.750,49.030,49.600,432300
59.400,1996-12-09,60.000,49.600,49.820,1343300
68.100,1996-12-10,70.000,58.000,60.000,1986600
76.000,1996-12-11,78.000,69.000,69.500,2278900
70.450,1996-12-12,75.800,69.500,75.800,1208300
68.000,1996-12-13,73.000,68.000,69.500,1008600
61.260,1996-12-16,61.260,61.260,61.260,64700
55.130,1996-12-17,61.100,55.130,55.130,1360300
60.640,1996-12-18,60.640,51.000,53.000,2231500
59.960,1996-12-19,64.200,56.100,61.500,2297900
63.400,1996-12-23,64.900,60.000,64.810,1345700
68.800,1996-12-24,69.470,65.000,65.000,3724200
70.610,1996-12-25,70.990,67.000,69.810,2093200
69.500,1996-12-26,71.800,69.350,71.000,664400
71.500,1996-12-27,72.000,68.500,70.000,1818600
38.990,1996-12-30,39.000,36.800,36.800,4098400
38.500,1996-12-31,40.000,37.830,39.800,2141500
36.810,1997-01-02,38.000,36.030,37.500,3345700
36.070,1997-01-03,36.800,35.980,36.500,1931100
32.450,1997-01-06,35.470,32.450,35.200,2145000
33.160,1997-01-07,33.800,30.000,31.000,1767800
32.400,1997-01-08,33.500,31.750,33.100,939100
32.200,1997-01-09,32.800,32.000,32.000,571600
33.730,1997-01-10,34.600,32.000,32.200,1651000
33.900,1997-01-13,34.600,33.650,33.960,877100
32.800,1997-01-14,33.860,32.450,33.800,873400
32.710,1997-01-15,33.000,32.200,32.200,422000
32.700,1997-01-16,33.000,32.550,32.610,398000
32.950,1997-01-17,33.000,32.600,32.700,385400
32.920,1997-01-20,33.400,32.500,32.920,498700
32.780,1997-01-21,33.350,32.700,33.300,398700
33.460,1997-01-22,34.280,33.000,33.010,908600
33.520,1997-01-23,33.750,33.010,33.480,865600
33.200,1997-01-24,33.490,33.010,33.300,488200
34.180,1997-01-27,34.590,33.000,33.250,1208400
33.700,1997-01-28,34.500,33.650,34.500,590700
33.430,1997-01-29,33.750,33.330,33.750,443300
33.360,1997-01-30,33.600,33.200,33.500,609400
33.650,1997-01-31,34.300,33.380,33.380,690300
33.980,1997-02-17,34.500,33.700,33.700,595600
30.560,1997-02-18,33.960,30.560,33.800,1179700
32.260,1997-02-19,32.500,30.650,30.660,764400
31.220,1997-02-20,31.950,29.030,29.030,2034400
31.710,1997-02-21,32.000,31.250,31.910,705100
31.400,1997-02-24,31.800,31.100,31.800,728600
31.600,1997-02-25,32.160,31.400,31.500,559000
32.700,1997-02-26,33.000,31.400,31.500,852700
32.880,1997-02-27,33.500,32.700,33.000,1069700
33.000,1997-02-28,33.180,32.450,32.880,800500
34.950,1997-03-03,35.000,33.090,33.400,2519100
34.530,1997-03-04,35.500,34.100,35.000,1407100
33.480,1997-03-05,34.500,33.450,34.300,822900
33.600,1997-03-06,33.950,32.800,32.980,482000
33.550,1997-03-07,34.000,33.280,33.800,624400
34.000,1997-03-10,34.900,33.500,33.600,833500
34.400,1997-03-11,34.800,34.000,34.100,1140100
37.850,1997-03-12,37.850,34.380,34.400,5970900
39.220,1997-03-13,41.000,38.880,39.800,6607200
39.220,1997-03-14,39.250,37.500,39.000,2931600
39.950,1997-03-17,41.000,39.500,40.000,3049200
39.400,1997-03-18,40.500,38.600,40.200,2178400
39.050,1997-03-19,39.410,38.600,39.400,1302100
37.800,1997-03-20,39.300,37.610,39.200,1283100
39.300,1997-03-21,40.500,37.000,37.200,1891900
41.980,1997-03-24,42.000,39.350,40.390,3792500
41.000,1997-03-25,42.500,40.200,42.500,2784000
40.390,1997-03-26,41.000,40.000,40.900,1493600
40.610,1997-03-27,42.000,39.900,40.300,2203300
40.060,1997-03-28,40.840,40.000,40.110,1128800
40.400,1997-03-31,41.480,40.000,40.000,1071400
40.200,1997-04-01,40.780,40.000,40.500,932100
40.180,1997-04-02,41.000,40.030,40.030,896400
40.250,1997-04-03,40.600,39.600,40.100,847100
41.450,1997-04-04,42.300,40.500,40.500,2657600
45.650,1997-04-07,45.650,42.000,42.300,4776200
43.540,1997-04-08,46.300,43.500,46.000,2774400
43.950,1997-04-09,44.250,43.000,43.300,1558200
42.540,1997-04-10,44.000,42.500,44.000,1697600
41.280,1997-04-11,42.000,40.800,42.000,1961100
41.280,1997-04-14,42.400,41.110,41.110,963100
40.980,1997-04-15,41.500,40.880,41.200,880300
41.250,1997-04-16,42.000,40.800,41.130,968900
41.100,1997-04-17,41.500,41.000,41.400,695500
40.650,1997-04-18,41.280,40.250,41.100,1143000
41.150,1997-04-21,41.900,40.350,40.490,1543900
41.150,1997-04-22,41.500,40.950,41.500,975400
42.600,1997-04-23,44.000,40.800,41.150,2504600
43.300,1997-04-24,43.990,41.500,42.600,2516500
44.400,1997-04-25,45.800,43.500,43.600,3868800
41.490,1997-04-28,45.000,39.950,40.000,3825500
40.310,1997-04-29,41.800,39.800,41.000,3039600
41.050,1997-04-30,41.550,39.880,40.200,1562600
42.250,1997-05-05,43.000,41.200,41.280,2228900
44.100,1997-05-06,44.600,42.500,42.500,3606700
48.520,1997-05-07,48.520,44.400,44.480,4818100
46.500,1997-05-08,53.370,45.500,50.000,6868700
49.980,1997-05-09,50.280,45.600,45.800,4962900
48.800,1997-05-12,53.000,48.000,51.000,3479900
47.040,1997-05-13,49.000,46.000,48.500,2398100
44.630,1997-05-14,47.200,44.000,47.000,1942600
45.880,1997-05-15,46.100,43.300,44.000,1515100
41.290,1997-05-16,44.900,41.260,44.000,2092100
42.510,1997-05-19,43.000,41.000,41.000,1069500
44.800,1997-05-20,45.270,43.000,43.000,2012500
43.200,1997-05-21,45.300,42.850,44.860,1295100
39.590,1997-05-22,42.000,38.880,38.880,2331500
41.330,1997-05-23,41.660,39.590,39.590,1336900
41.750,1997-05-26,42.600,40.000,42.000,955800
41.880,1997-05-27,42.500,41.560,42.300,778700
41.790,1997-05-28,42.650,41.700,41.900,750800
41.630,1997-05-30,42.200,40.100,41.100,443300
